time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T02:06:23.457Z,37.9227,38.0613,10,5,mb,90,64,0.771,0.97,us,us6000jmn0,2023-03-19T22:59:10.040Z,"19 km NE of Tut, Turkey",earthquake,4.75,1.816,0.068,68,reviewed,us,us
2023-02-06T02:10:16.832Z,38.1562,38.5195,14.253,4.4,mb,37,65,0.753,0.65,us,us6000jnr8,2023-03-06T04:49:10.040Z,"15 km NNW of Sincik, Turkey",earthquake,3.26,5.127,0.143,14,reviewed,us,us
2023-02-06T02:11:48.911Z,37.9265,38.2237,16.711,4.1,mb,47,91,0.678,0.66,us,us6000jnr9,2023-03-06T06:31:47.040Z,"11 km S of Çelikhan, Turkey",earthquake,5.04,4.602,0.111,22,reviewed,us,us
2023-02-06T02:13:40.815Z,37.2863,36.8539,10,4.2,mb,17,89,0.306,0.46,us,us6000jnra,2023-03-07T00:13:10.040Z,"16 km NE of Nurda??, Turkey",earthquake,5.2,1.92,0.167,10,reviewed,us,us
2023-02-06T02:16:09.128Z,37.4468,37.0449,10,4.2,mb,13,129,0.304,0.4,us,us6000jmn3,2023-03-06T04:28:37.040Z,"18 km SE of Kahramanmara?, Turkey",earthquake,4.28,1.954,0.235,5,reviewed,us,us
2023-02-06T02:17:40.715Z,37.1024,36.7301,12.201,4.8,mb,86,70,0.389,0.72,us,us6000jlmm,2023-03-06T04:20:17.040Z,,earthquake,6.54,4.372,0.071,61,reviewed,us,us
2023-02-06T02:21:20.561Z,37.4358,37.0658,14.349,4.2,mb,34,83,0.287,0.7,us,us6000jmn5,2023-03-06T04:09:28.040Z,"20 km SE of Kahramanmara?, Turkey",earthquake,3.8,4.705,0.115,21,reviewed,us,us
2023-02-06T02:23:14.336Z,37.1816,36.9658,11.359,5.3,mb,195,36,0.195,0.55,us,us6000jlmn,2023-03-06T02:53:31.465Z,"20 km E of Nurda??, Turkey",earthquake,4.96,3.519,0.046,159,reviewed,us,us
2023-02-06T02:28:43.721Z,37.4292,36.9502,8.01,4.1,mb,21,146,0.086,0.57,us,us6000jnw1,2023-03-02T22:46:36.040Z,"17 km S of Kahramanmara?, Turkey",earthquake,5.34,7.776,0.235,5,reviewed,us,us
2023-02-06T02:31:26.171Z,37.4137,36.8216,12.112,4.5,mb,42,156,0.111,0.65,us,us6000jnsi,2023-03-02T22:30:12.040Z,Central Turkey,earthquake,6.24,4.994,0.113,23,reviewed,us,us
2023-02-06T02:32:08.686Z,37.5639,37.1467,17.393,4.5,mb,32,81,0.205,1,us,us6000jnw0,2023-03-02T07:06:05.040Z,"15 km WNW of Pazarc?k, Turkey",earthquake,5.8,4.065,0.124,19,reviewed,us,us
2023-02-06T02:33:28.446Z,38.1084,38.495,17.891,4.4,mb,44,83,0.715,0.54,us,us6000jnrb,2023-03-02T06:13:32.040Z,"13 km NW of Sincik, Turkey",earthquake,3.57,4.387,0.117,21,reviewed,us,us
2023-02-06T02:34:18.119Z,37.4941,37.2266,14.637,4.3,mb,41,91,0.322,0.6,us,us6000jnry,2023-03-02T06:02:30.040Z,Central Turkey,earthquake,6.91,5.929,0.111,23,reviewed,us,us
2023-02-06T02:34:51.505Z,37.0822,37.0363,10,4.7,mb,84,68,0.165,0.84,us,us6000jnsj,2023-03-02T04:41:52.040Z,,earthquake,6.44,1.839,0.073,58,reviewed,us,us
2023-02-06T02:38:44.305Z,37.8697,38.3908,10,4.2,mb,32,169,1.645,0.71,us,us6000jnrd,2023-03-02T04:40:54.040Z,"15 km NE of Ad?yaman, Turkey",earthquake,5.44,1.914,0.159,11,reviewed,us,us
2023-02-06T02:43:47.299Z,36.8497,36.3895,10,4.2,mb,27,217,0.73,0.74,us,us6000jnvz,2023-03-02T04:20:32.040Z,"12 km WNW of Hassa, Turkey",earthquake,3.68,1.328,0.159,11,reviewed,us,us
2023-02-06T02:52:14.949Z,38.5461,40.4563,12.85,4.2,mb,27,99,1.236,0.72,us,us6000jnre,2023-03-02T04:05:06.040Z,,earthquake,4.28,4.984,0.167,10,reviewed,us,us
2023-02-06T02:54:00.446Z,36.7084,36.3519,10,4.7,mb,129,55,0.828,0.59,us,us6000jlmv,2023-03-01T05:14:04.994Z,"14 km ENE of Denizciler, Turkey",earthquake,4.91,1.839,0.056,96,reviewed,us,us
2023-02-06T02:56:51.520Z,38.8297,38.8005,14.19,4.4,mb,31,112,1.771,0.56,us,us6000jnsn,2023-03-19T20:38:18.040Z,"6 km NE of Keban, Turkey",earthquake,5.99,4.488,0.143,14,reviewed,us,us
2023-02-06T03:01:14.387Z,38.1475,38.435,14.043,4.1,mb,33,68,0.769,0.75,us,us6000jnrf,2023-03-01T04:56:36.040Z,"19 km NW of Sincik, Turkey",earthquake,3.21,4.266,0.139,14,reviewed,us,us
2023-02-06T03:02:18.228Z,37.9204,37.7822,10,4.4,mb,52,91,0.875,0.62,us,us6000jnrg,2023-03-01T04:26:04.040Z,"18 km NW of Tut, Turkey",earthquake,3.38,1.875,0.095,32,reviewed,us,us
2023-02-06T03:04:45.269Z,38.1742,38.482,16.696,4.7,mb,123,33,0.78,0.64,us,us6000jln0,2023-03-01T04:42:25.040Z,"19 km NW of Sincik, Turkey",earthquake,5.4,4.053,0.06,84,reviewed,us,us
2023-02-06T03:10:20.089Z,37.7127,37.8001,16.08,4.4,mb,79,70,0.716,0.37,us,us6000jln6,2023-03-01T03:10:59.040Z,"5 km WNW of Besni, Turkey",earthquake,5.78,4.132,0.074,53,reviewed,us,us
2023-02-06T03:12:11.339Z,37.5003,37.3267,3.572,4.5,mb,79,76,0.341,0.68,us,us6000jln3,2023-03-01T02:56:47.970Z,"2 km ENE of Pazarc?k, Turkey",earthquake,5.28,4.287,0.074,53,reviewed,us,us
2023-02-06T03:16:16.646Z,38.0715,38.4951,17.34,4.3,mb,46,71,0.681,0.87,us,us6000jnsr,2023-03-01T01:31:15.040Z,"11 km WNW of Sincik, Turkey",earthquake,4.45,1.549,0.113,22,reviewed,us,us
2023-02-06T03:19:15.155Z,37.733,37.4257,10,4,mb,17,95,1.042,0.57,us,us6000jnrj,2023-03-01T01:48:54.040Z,"12 km E of Ça?layancerit, Turkey",earthquake,3.43,1.973,0.212,6,reviewed,us,us
2023-02-06T03:22:44.992Z,38.1446,38.558,12.514,4.3,mb,48,64,0.733,0.62,us,us6000jnrl,2023-03-01T03:20:06.040Z,"12 km NNW of Sincik, Turkey",earthquake,5.09,2.1,0.103,27,reviewed,us,us
2023-02-06T03:24:30.161Z,37.9268,37.8357,5.884,4.4,mb,39,92,0.903,0.71,us,us6000jnrh,2023-03-01T03:55:31.040Z,Central Turkey,earthquake,2.73,5.039,0.124,19,reviewed,us,us
2023-02-06T03:28:45.962Z,38.0773,38.5775,16.819,4.4,mb,75,36,0.664,0.8,us,us6000jln5,2023-03-01T00:27:29.040Z,"5 km NW of Sincik, Turkey",earthquake,3.88,4.236,0.082,43,reviewed,us,us
2023-02-06T03:30:00.256Z,37.0297,36.7506,10,4.2,mb,33,171,0.394,0.84,us,us6000jnri,2023-03-01T00:48:16.040Z,"15 km S of Nurda??, Turkey",earthquake,4.28,1.932,0.118,20,reviewed,us,us
2023-02-06T03:35:39.215Z,38.2368,38.5132,9.221,4.2,mb,26,61,0.831,0.77,us,us6000jns6,2023-03-01T01:08:20.040Z,"21 km SE of Malatya, Turkey",earthquake,3.04,5.921,0.186,8,reviewed,us,us
2023-02-06T03:41:28.306Z,37.2442,37.1335,15.704,4.3,mb,36,134,0.094,0.73,us,us6000jnsv,2023-02-28T06:03:59.040Z,Central Turkey,earthquake,5.35,6.288,0.129,17,reviewed,us,us
2023-02-06T03:45:48.353Z,38.1656,38.65,16.431,4.8,mb,126,42,0.736,0.53,us,us6000jln9,2023-02-28T04:17:36.999Z,,earthquake,3.91,3.729,0.056,99,reviewed,us,us
2023-02-06T03:54:00.586Z,37.7604,37.4251,14.46,4.3,mb,32,90,0.612,0.71,us,us6000jnrm,2023-02-28T04:28:11.040Z,"12 km E of Ça?layancerit, Turkey",earthquake,2.96,4.766,0.153,12,reviewed,us,us
2023-02-06T03:55:10.580Z,37.3982,36.8946,10,4.2,mb,14,160,0.338,0.7,us,us6000jnrr,2023-02-28T04:46:37.040Z,"20 km S of Kahramanmara?, Turkey",earthquake,2.7,1.995,0.199,7,reviewed,us,us
2023-02-06T03:58:19.868Z,36.6427,36.426,10,4.3,mb,36,102,0.821,0.76,us,us6000jnrn,2023-03-02T03:48:35.916Z,"17 km NNE of K?r?khan, Turkey",earthquake,3.54,1.932,0.201,7,reviewed,us,us
2023-02-06T04:04:22.647Z,37.8315,37.3919,5.017,4.4,mb,65,83,0.674,0.52,us,us6000jlnc,2023-02-28T03:45:19.040Z,Central Turkey,earthquake,4.66,4.563,0.088,37,reviewed,us,us
2023-02-06T04:05:15.992Z,37.7658,37.4588,10,4.1,mb,22,119,0.625,1.15,us,us6000jnvn,2023-02-28T03:51:50.040Z,"15 km E of Ça?layancerit, Turkey",earthquake,2.67,1.854,0.157,11,reviewed,us,us
2023-02-06T04:05:56.670Z,37.0844,36.9133,12.1,4.2,mb,21,121,0.252,0.53,us,us6000jnrp,2023-02-28T03:35:55.040Z,"18 km ESE of Nurda??, Turkey",earthquake,3.53,5.309,0.186,8,reviewed,us,us
2023-02-06T04:14:17.612Z,38.1847,38.6102,9.958,4.4,mb,55,105,0.761,0.74,us,us6000jlne,2023-02-28T02:36:44.040Z,"16 km N of Sincik, Turkey",earthquake,5.43,5.272,0.093,33,reviewed,us,us
2023-02-06T04:16:49.374Z,37.5236,37.2784,11.788,4.5,mb,88,66,0.355,0.43,us,us6000jlnd,2023-02-28T02:30:22.115Z,"4 km NNW of Pazarc?k, Turkey",earthquake,2.71,4.618,0.072,57,reviewed,us,us
2023-02-06T04:18:46.986Z,38.1845,38.5342,16.416,5,mb,145,36,0.776,0.58,us,us6000jlnf,2023-02-23T04:51:17.472Z,"17 km NNW of Sincik, Turkey",earthquake,5.5,3.967,0.053,112,reviewed,us,us
2023-02-06T04:24:45.154Z,37.555,37.2001,13.385,4.1,mb,25,93,0.382,0.56,us,us6000jnvd,2023-02-23T04:21:51.040Z,"11 km NW of Pazarc?k, Turkey",earthquake,3.11,5.604,0.214,6,reviewed,us,us
2023-02-06T04:31:02.298Z,37.2919,36.8854,12.932,4.3,mb,32,159,0.285,0.72,us,us6000jnrs,2023-02-23T04:01:56.040Z,"19 km NE of Nurda??, Turkey",earthquake,4.59,6.261,0.142,14,reviewed,us,us
2023-02-06T04:31:23.899Z,36.3649,36.4413,10,4.4,mb,38,116,1.015,0.48,us,us6000jnsd,2023-02-23T04:14:16.040Z,"2 km NE of Uzunkavak, Turkey",earthquake,5.23,1.939,0.107,25,reviewed,us,us
2023-02-06T04:39:47.868Z,37.7907,37.4444,17.034,4.3,mb,51,96,0.645,0.54,us,us6000jlnq,2023-02-23T03:44:50.040Z,"14 km ENE of Ça?layancerit, Turkey",earthquake,4.39,4.707,0.097,30,reviewed,us,us
2023-02-06T04:47:57.170Z,36.7176,36.4733,10,4.5,mb,75,89,0.744,0.62,us,us6000jlns,2023-02-23T03:27:10.040Z,"9 km SSW of Hassa, Turkey",earthquake,4.91,1.825,0.085,40,reviewed,us,us
2023-02-06T04:56:05.491Z,37.4609,37.1603,16.174,4.5,mb,84,69,0.291,0.64,us,us6000jlnu,2023-02-23T03:10:16.040Z,"12 km WSW of Pazarc?k, Turkey",earthquake,6.53,4.698,0.074,53,reviewed,us,us
2023-02-06T05:01:50.591Z,37.7898,37.8568,16.551,4.6,mb,98,55,0.803,0.55,us,us6000jlnv,2023-03-10T02:18:40.040Z,"5 km W of Tut, Turkey",earthquake,5.41,3.182,0.068,64,reviewed,us,us
2023-02-06T05:04:31.901Z,37.3768,37.0793,11.165,4.2,mb,19,136,0.229,0.5,us,us6000jnvb,2023-03-10T02:30:21.040Z,Central Turkey,earthquake,8.89,7.385,0.176,9,reviewed,us,us
2023-02-06T05:12:52.692Z,37.4966,37.1888,5.336,4.4,mb,29,85,0.324,1.11,us,us6000jnrx,2023-03-10T02:47:27.040Z,"9 km W of Pazarc?k, Turkey",earthquake,2.52,5.123,0.162,11,reviewed,us,us
2023-02-06T05:16:55.953Z,37.7999,37.7821,10,4.1,mb,38,103,0.775,0.65,us,us6000jnrv,2023-03-22T13:26:48.040Z,Central Turkey,earthquake,3.07,1.933,0.175,9,reviewed,us,us
2023-02-06T05:19:48.566Z,38.0197,38.3054,10,4.1,mb,25,81,0.708,0.51,us,us6000jnrw,2023-03-22T13:37:16.040Z,"6 km E of Çelikhan, Turkey",earthquake,3.59,1.904,0.235,5,reviewed,us,us
2023-02-06T05:22:44.551Z,37.3082,37.7106,10,4.4,mb,37,119,1.12,0.46,us,us6000jlnx,2023-03-22T15:48:44.040Z,"12 km E of Yavuzeli, Turkey",earthquake,8.69,1.914,0.102,28,reviewed,us,us
2023-02-06T05:31:22.169Z,38.0053,38.042,10,4.4,mb,42,93,1.063,0.62,us,us6000jlnz,2023-03-22T14:52:17.040Z,"17 km W of Çelikhan, Turkey",earthquake,3.57,1.898,0.117,21,reviewed,us,us
2023-02-06T05:33:10.998Z,38.0957,38.2361,15.345,4.6,mb,73,97,0.801,0.65,us,us6000jns2,2023-03-10T10:37:29.040Z,eastern Turkey,earthquake,4.59,4.503,0.084,42,reviewed,us,us
2023-02-06T05:35:21.339Z,36.4188,36.2183,10,4.4,mb,59,130,1.095,0.54,us,us6000jns0,2023-03-10T14:36:42.040Z,"6 km N of Serinyol, Turkey",earthquake,4.45,1.839,0.086,41,reviewed,us,us
2023-02-06T05:36:33.636Z,36.2975,36.2085,13.032,4.6,mb,93,54,1.187,0.79,us,us6000jlp0,2023-03-10T05:46:37.040Z,"1 km N of Büyük Dalyan, Turkey",earthquake,5.33,4.53,0.067,66,reviewed,us,us
2023-02-06T05:40:38.044Z,37.9116,38.2366,19.278,4.5,mb,57,75,0.66,0.47,us,us6000jnss,2023-03-10T14:15:13.040Z,"12 km S of Çelikhan, Turkey",earthquake,4.44,1.492,0.096,34,reviewed,us,us
2023-02-06T05:43:49.888Z,36.2606,36.2043,10,4.6,mb,73,57,1.217,0.69,us,us6000jns1,2023-03-22T14:26:32.040Z,"3 km S of Büyük Dalyan, Turkey",earthquake,2.78,1.869,0.09,37,reviewed,us,us
2023-02-06T05:44:55.583Z,36.3265,36.4042,10,4.4,mb,37,117,1.063,0.65,us,us6000jnvf,2023-03-10T05:49:56.040Z,"1 km SSW of Karasüleymanl?, Turkey",earthquake,4.94,1.822,0.155,12,reviewed,us,us
2023-02-06T05:55:49.697Z,37.9201,38.4457,10,4.5,mb,75,93,1.671,0.35,us,us6000jlp1,2023-03-22T13:20:49.040Z,"19 km SW of Sincik, Turkey",earthquake,2.15,1.87,0.073,55,reviewed,us,us
2023-02-06T06:14:38.909Z,37.4072,36.9513,10,4.3,mb,31,135,0.312,0.37,us,us6000jns3,2023-03-10T05:36:53.040Z,"19 km S of Kahramanmara?, Turkey",earthquake,1.69,1.927,0.177,9,reviewed,us,us
2023-02-06T06:18:02.484Z,38.1199,38.3761,10,4.4,mb,23,84,0.764,0.6,us,us6000jns4,2023-03-10T05:33:20.040Z,"16 km NE of Çelikhan, Turkey",earthquake,5.21,1.965,0.269,4,reviewed,us,us
2023-02-06T06:26:28.168Z,37.3961,37.1506,10,4.6,mb,71,107,0.229,0.45,us,us6000jlsg,2023-03-22T13:02:19.040Z,"16 km SW of Pazarc?k, Turkey",earthquake,5.02,1.902,0.081,45,reviewed,us,us
2023-02-06T06:27:52.742Z,38.0564,38.2173,10,4.5,mb,26,80,0.779,0.62,us,us6000jnwh,2023-03-10T05:28:34.040Z,"3 km NNW of Çelikhan, Turkey",earthquake,4.05,1.587,0.241,5,reviewed,us,us
2023-02-06T06:54:57.492Z,37.6539,37.392,10,4.8,mb,105,56,0.502,0.53,us,us6000jlp9,2023-03-23T19:25:55.040Z,"13 km SE of Ça?layancerit, Turkey",earthquake,6.38,1.836,0.062,82,reviewed,us,us
2023-02-06T07:08:32.392Z,36.7139,36.4459,11.457,4.5,mb,107,82,0.764,0.6,us,us6000jlpb,2023-03-10T12:45:28.040Z,"11 km SW of Hassa, Turkey",earthquake,3.61,4.291,0.076,51,reviewed,us,us
2023-02-06T07:10:09.617Z,36.595,36.3297,10,4.2,mb,12,229,0.911,0.19,us,us6000jnte,2023-03-22T14:34:38.040Z,"10 km NNW of K?r?khan, Turkey",earthquake,3.07,1.942,0.372,2,reviewed,us,us
2023-02-06T07:24:13.862Z,36.7978,36.2602,10,4.3,mb,17,105,0.784,0.54,us,us6000jnsc,2023-03-22T15:03:16.040Z,"5 km SSE of Dörtyol, Turkey",earthquake,3.19,1.951,0.218,6,reviewed,us,us
2023-02-06T07:29:40.592Z,35.6445,35.5034,10,4.5,mb,46,114,2.047,1.1,us,us6000jnsf,2023-03-10T04:56:41.040Z,"28 km WNW of Latakia, Syria",earthquake,7.91,1.931,0.128,18,reviewed,us,us
2023-02-06T07:41:14.046Z,37.8718,38.0812,10,4.6,mb,38,100,0.984,0.43,us,us6000jlpi,2023-03-10T04:45:27.040Z,eastern Turkey,earthquake,2.15,1.907,0.114,23,reviewed,us,us
2023-02-06T07:54:39.189Z,35.5907,35.5841,10,4.3,mb,33,116,2.052,0.57,us,us6000jnsh,2023-03-10T04:40:29.040Z,"19 km WNW of Latakia, Syria",earthquake,6.18,1.921,0.168,10,reviewed,us,us
2023-02-06T08:01:47.818Z,36.6219,36.4225,10,4.5,mb,63,55,0.836,0.68,us,us6000jlpp,2023-03-10T04:35:06.040Z,"14 km NNE of K?r?khan, Turkey",earthquake,5.61,1.869,0.094,33,reviewed,us,us
2023-02-06T08:12:52.583Z,35.6075,35.3088,10,4.4,mb,63,98,2.138,0.84,us,us6000jnsl,2023-03-10T09:44:00.040Z,"44 km W of Latakia, Syria",earthquake,6.1,1.876,0.097,31,reviewed,us,us
2023-02-06T08:26:39.492Z,36.1795,35.9229,10,4,mb,23,186,1.432,0.8,us,us6000jnsq,2023-03-10T08:21:38.040Z,"11 km WNW of Uzunba?, Turkey",earthquake,5,1.859,0.258,4,reviewed,us,us
2023-02-06T08:52:37.361Z,37.4633,37.2102,10,4.8,mb,82,57,0.291,0.81,us,us6000jlpv,2023-03-10T04:15:01.040Z,"8 km WSW of Pazarc?k, Turkey",earthquake,2.56,1.621,0.069,65,reviewed,us,us
2023-02-06T08:58:34.938Z,38.0402,38.2553,11.354,4.5,mb,73,98,1.2,0.57,us,us6000jlpx,2023-03-10T04:09:15.040Z,eastern Turkey,earthquake,5.84,3.475,0.08,46,reviewed,us,us
2023-02-06T09:21:01.495Z,37.7583,37.9812,17.065,4.5,mb,52,64,0.739,0.91,us,us6000jlq2,2023-03-22T14:33:43.040Z,"7 km SE of Tut, Turkey",earthquake,4.13,3.52,0.115,22,reviewed,us,us
2023-02-06T09:23:45.448Z,36.9214,36.427,10,4.6,mb,51,55,0.661,0.97,us,us6000jlq1,2023-03-22T14:35:58.040Z,"15 km NNW of Hassa, Turkey",earthquake,2.89,1.847,0.081,46,reviewed,us,us
